modified a workflow state,modificou uma etapa
Package Document Type,Tipo de Documento de Pacote
System will automatically delete Prepared Reports after these many days since creation,O sistema excluirá automaticamente os relatórios preparados após esses muitos dias desde a criação
Prepared Report Expiry Period (Days),Período de expiração do relatório preparado (dias)
Enable Auto-deletion of Prepared Reports,Habilitar exclusão automática de relatórios preparados
Include Web View Link in Email,Enviar link no email para visualizar o documento online
Hourly rate limit for generating password reset links,Limite de taxa por hora para gerar links de redefinição de senha
Password Reset Link Generation Limit,Limite de geração de link de redefinição de senha
Enable Onboarding,Habilitar Onboarding
"Route: Example ""/desk""",Rota: Exemplo &quot;/ desk&quot;
"Will add ""%"" before and after the query",Irá adicionar &quot;%&quot; antes e depois da consulta
Wildcard Filter,Filtro Wildcard
Report Filter,Filtro de Relatório
Report Column,Coluna de Relatório
Client Code,Código do cliente
"Filters will be accessible via filters. Send output as result = [result], or for old style data = [columns], [result]","Os filtros estarão acessíveis por meio de <code>filters</code> .<br><br> Envie a saída como <code>result = [result]</code> ou para <code>data = [columns], [result]</code> estilo antigo <code>data = [columns], [result]</code>"
Query / Script,Consulta / Script
Help Dropdown,Ajuda suspensa
Settings Dropdown,Lista suspensa de configurações
Dropdowns,Dropdowns
Logo Width,Largura do logotipo
Application Logo,Logo do aplicativo
Navbar Settings,Configurações da barra de navegação
Separator,Separador
Item Type,Tipo de item
Item Label,Etiqueta do item
Navbar Item,Item Navbar
Installed Applications,Aplicativos Instalados
Git Branch,Git Branch
Application Version,Versão do aplicativo
Application Name,Nome da Aplicação
Installed Application,Aplicativo Instalado
Document Naming Rule Condition,Condição de regra de nomenclatura de documento
Counter,Contador
Example: 00001,Exemplo: 00001
Digits,Dígitos
Rule Conditions,Condições da regra
Document Naming Rule,Regra de Nomenclatura de Documento
Action / Route,Ação / Rota
Index Web Pages for Search,Índice de páginas da web para pesquisa
Hide Border,Ocultar borda
Hide Seconds,Ocultar segundos
Hide Days,Ocultar dias
Document Restoration Summary,Resumo de restauração de documento
Documents that failed to restore,Documentos que não foram restaurados
Documents that were already restored,Documentos que já foram restaurados
Documents restored successfully,Documentos restaurados com sucesso
Data Import Legacy,Legado de importação de dados
"Successfully updated {0} record out of {1}. Click on Export Errored Rows, fix the errors and import again.","Atualizado com sucesso {0} registro de {1}. Clique em Exportar Errored Rows, corrija os erros e importe novamente."
"Successfully updated {0} records out of {1}. Click on Export Errored Rows, fix the errors and import again.","Atualizado com êxito {0} registros de {1}. Clique em Exportar Errored Rows, corrija os erros e importe novamente."
"Successfully imported {0} record out of {1}. Click on Export Errored Rows, fix the errors and import again.","Importado com sucesso {0} registro de {1}. Clique em Exportar Errored Rows, corrija os erros e importe novamente."
"Successfully imported {0} records out of {1}. Click on Export Errored Rows, fix the errors and import again.","Importou com êxito {0} registros de {1}. Clique em Exportar Errored Rows, corrija os erros e importe novamente."
Import File Errors and Warnings,Erros e avisos de importação de arquivos
Refresh Google Sheet,Atualizar planilha do Google
Must be a publicly accessible Google Sheets URL,Deve ser um URL de planilhas do Google acessível publicamente
Import from Google Sheets,Importar do Planilhas Google
GST State Number,Número do estado GST
West Bengal,Bengala Ocidental
Uttarakhand,Uttarakhand
Uttar Pradesh,Uttar Pradesh
Tripura,Tripura
Telangana,Telangana
Tamil Nadu,Tamil Nadu
Sikkim,Sikkim
Rajasthan,Rajasthan
Punjab,Punjab
Pondicherry,Pondicherry
Other Territory,Outro Território
Odisha,Odisha
Nagaland,Nagaland
Mizoram,Mizoram
Meghalaya,Meghalaya
Manipur,Manipur
Maharashtra,Maharashtra
Madhya Pradesh,Madhya Pradesh
Lakshadweep Islands,Ilhas Lakshadweep
Kerala,Kerala
Karnataka,Karnataka
Jharkhand,Jharkhand
Jammu and Kashmir,Jammu e Kashmir
Himachal Pradesh,Himachal Pradesh
Haryana,Haryana
Gujarat,Gujarat
Goa,Goa
Delhi,Délhi
Daman and Diu,Damão e Diu
Dadra and Nagar Haveli,Dadra e Nagar Haveli
Chhattisgarh,Chhattisgarh
Chandigarh,Chandigarh
Bihar,Bihar
Assam,Assam
Arunachal Pradesh,Arunachal Pradesh
Andhra Pradesh,Andhra Pradesh
Andaman and Nicobar Islands,Ilhas Andaman e Nicobar
GST State,Estado GST
Party GSTIN,Festa GSTIN
Invalid JSON,JSON inválido
Request Body consists of an invalid JSON structure,O corpo da solicitação consiste em uma estrutura JSON inválida
Invalid Option,Opção Inválida
Option {0} for field {1} is not a child table,A opção {0} para o campo {1} não é uma tabela filha
{0}' not allowed for type {1} in row {2},&#39;{0}&#39; não permitido para o tipo {1} na linha {2}
Reverting length to {0} for '{1}' in '{2}'. Setting the length as {3} will cause truncation of data.,Revertendo comprimento para {0} para &#39;{1}&#39; em &#39;{2}&#39;. Definir o comprimento como {3} causará o truncamento dos dados.
"You can only upload JPG, PNG, PDF, or Microsoft documents.","Você só pode fazer upload de documentos JPG, PNG, PDF ou Microsoft."
Validation Error,erro de validação
"Couldn't save, please check the data you have entered","Não foi possível salvar, verifique os dados inseridos"
Are you sure you want to reset all customizations?,Tem certeza de que deseja redefinir todas as personalizações?
Click On Customize to add your first widget,Clique em Personalizar para adicionar seu primeiro widget
You haven't added any Dashboard Charts or Number Cards yet.,Você ainda não adicionou nenhum gráfico de Dashboard ou cartão numérico.
Your Shortcuts,Seus Atalhos
New Number Card,Novo cartão de número
Show,mostrar
since last year,desde o ano passado
since last month,desde o último mês
since last week,desde a semana passada
since yesterday,desde ontem
Select From Date,Selecione a partir da data
All Time,Tempo todo
This Year,Este ano
This Quarter,Este Trimestre
This Month,Este mês
This Week,Esta semana
Hide Block,Esconder o Bloco
Add Gray Background,Adicionar fundo cinza
This is an example Google SERP Preview.,Este é um exemplo de visualização do Google SERP.
Google Snippet Preview,Visualização de snippet do Google
Meta Image,Meta Imagem
Meta Description,Meta Descrição
Set to 0 for no limit on the number of backups taken,Defina como 0 para não haver limite no número de backups feitos
Backup public and private files along with the database.,Faça backup de arquivos públicos e privados junto com o banco de dados.
Backup Files,Arquivos de backup
Backup Details,Detalhes de backup
Bucket Name,Nome do intervalo
S3 Bucket Details,Detalhes do balde S3
Access Key Secret,Segredo da chave de acesso
API Access,Acesso API
Card,Cartão
Number Card Link,Número do link do cartão
Filters Section,Seção de Filtros
Show percentage difference according to this time interval,Mostra a diferença percentual de acordo com este intervalo de tempo
Stats Time Interval,Intervalo de tempo das estatísticas
Show Percentage Stats,Mostrar estatísticas percentuais
Stats,Estatísticas
This card will be available to all Users if this is set,Este cartão estará disponível para todos os usuários se estiver definido
Maximum,Máximo
Minimum,Mínimo
Function,Função
Number Card,Cartão de Número
This chart will be available to all Users if this is set,Este gráfico estará disponível para todos os usuários se estiver definido
Is Public,É público
Prefix,Prefixo
Subtitle,Subtítulo
Component,Componente
email,email
Steps,Passos
Linked Documents,Documentos vinculados
Due Date Based On,Data de vencimento baseada em
Lead Conversion Time,Lead Conversion Time
Address And Contacts,Endereços e Contatos
Is Billing Contact,É contato de cobrança
Prefer not to say,Prefiro não dizer
Non-Conforming,Não conforme
Genderqueer,Genderqueer
Transgender,Transgênero
Could not save customization,Não foi possível salvar a personalização
Custom Documents,Documentos Personalizados
Allow Google Indexing Access,Permitir acesso de indexação do Google
Allow API Indexing Access,Permitir acesso de indexação de API
Google Indexing has been configured.,A indexação do Google foi configurada.
Default value for {0} must be in the list of options.,O valor padrão para {0} deve estar na lista de opções.
Options for {0} must be set before setting the default value.,As opções para {0} devem ser definidas antes de definir o valor padrão.
The Link specified has either been used before or Invalid,O link especificado já foi usado antes ou é inválido
Scheduled execution for script {0} has updated,A execução agendada para o script {0} foi atualizada
Enabled scheduled execution for script {0},Execução programada ativada para o script {0}
You can also copy-paste this {0} to your browser,Você também pode copiar e colar isto {0} no seu navegador
Status Updated,Status Atualizado
Error has occurred in {0},Ocorreu um erro em {0}
{0} {1}: Submitted Record cannot be deleted. You must {2} Cancel {3} it first.,{0} {1}: O registro enviado não pode ser excluído. Você deve {2} cancelar {3} primeiro.
Your system is being updated. Please refresh again after a few moments.,Seu sistema está sendo atualizado. Atualize novamente após alguns momentos.
{0} is not a valid Name,{0} não é um nome válido
"Invalid token, please provide a valid token with prefix 'Basic' or 'Token'.","Token inválido, forneça um token válido com o prefixo &#39;Básico&#39; ou &#39;Token&#39;."
"Failed to decode token, please provide a valid base64-encoded token.","Falha ao decodificar o token, forneça um token codificado em base64 válido."
"Invalid Bearer token, please provide a valid access token with prefix 'Bearer'.","Token de portador inválido, forneça um token de acesso válido com o prefixo &#39;Portador&#39;."
Collapse,Colapso
Expand,Expandir
{0} Web page views,{0} page views
{0}: Other permission rules may also apply,{0}: Outras regras de permissão também podem ser aplicadas
Document is only editable by users with role,O documento só pode ser editado por usuários com função
by Role,por papel
No changes in document,Não há alterações no documento
{} Dashboard,{} Dashboard
Something went wrong while saving customizations,Algo deu errado ao salvar as personalizações
Customizations Saved Successfully,Personalizações salvas com sucesso
Customize Workspace,Personalize o Espaço de Trabalho
"Something went wrong while loading Desk. Please relaod the page. If the problem persists, contact the Administrator","Ocorreu um erro ao carregar o Desk. <b>Por favor, relaod a página</b> . Se o problema persistir, entre em contato com o Administrador"
Couldn't Load Desk,Não foi possível carregar a mesa
Edit Shortcut,Editar atalho
Edit Chart,Editar gráfico
New Shortcut,Novo Atalho
New Chart,Novo Gráfico
